,origin,destination,flow
29,"(699056.1944620786, 173815.98541762235)","(465949.9764254772, 201387.620110645)",33
30,"(623718.4288896682, 111657.29311797058)","(465949.9764254772, 201387.620110645)",0
31,"(602645.2631585986, 204916.6979331614)","(465949.9764254772, 201387.620110645)",0
32,"(849343.5199961576, 293650.8211050974)","(465949.9764254772, 201387.620110645)",0
33,"(543952.5909555099, 261363.56736361497)","(465949.9764254772, 201387.620110645)",0
34,"(779905.216087059, 308210.4776814674)","(465949.9764254772, 201387.620110645)",0
35,"(563750.9189047432, 195017.91075009792)","(465949.9764254772, 201387.620110645)",0
36,"(649456.791750841, 239330.74494126168)","(465949.9764254772, 201387.620110645)",1
37,"(735713.786937659, 203764.72107135272)","(465949.9764254772, 201387.620110645)",0
38,"(573267.7369656115, 174658.52941226802)","(465949.9764254772, 201387.620110645)",0
39,"(844216.4486454271, 246279.2183460687)","(465949.9764254772, 201387.620110645)",5
40,"(465452.68725493056, 263210.55726963974)","(465949.9764254772, 201387.620110645)",0
41,"(586928.3749487305, 81231.49031992705)","(465949.9764254772, 201387.620110645)",2
42,"(699056.1944620786, 173815.98541762235)","(623718.4288896682, 111657.29311797058)",2
43,"(699056.1944620786, 173815.98541762235)","(602645.2631585986, 204916.6979331614)",25
44,"(699056.1944620786, 173815.98541762235)","(849343.5199961576, 293650.8211050974)",16
45,"(699056.1944620786, 173815.98541762235)","(543952.5909555099, 261363.56736361497)",9
46,"(699056.1944620786, 173815.98541762235)","(779905.216087059, 308210.4776814674)",7
47,"(699056.1944620786, 173815.98541762235)","(563750.9189047432, 195017.91075009792)",20
48,"(649456.791750841, 239330.74494126168)","(699056.1944620786, 173815.98541762235)",35
49,"(699056.1944620786, 173815.98541762235)","(735713.786937659, 203764.72107135272)",9
50,"(699056.1944620786, 173815.98541762235)","(573267.7369656115, 174658.52941226802)",8
51,"(699056.1944620786, 173815.98541762235)","(844216.4486454271, 246279.2183460687)",3
52,"(699056.1944620786, 173815.98541762235)","(465452.68725493056, 263210.55726963974)",8
53,"(699056.1944620786, 173815.98541762235)","(586928.3749487305, 81231.49031992705)",2
54,"(602645.2631585986, 204916.6979331614)","(623718.4288896682, 111657.29311797058)",1
55,"(623718.4288896682, 111657.29311797058)","(849343.5199961576, 293650.8211050974)",0
56,"(543952.5909555099, 261363.56736361497)","(623718.4288896682, 111657.29311797058)",3
57,"(623718.4288896682, 111657.29311797058)","(779905.216087059, 308210.4776814674)",0
58,"(623718.4288896682, 111657.29311797058)","(563750.9189047432, 195017.91075009792)",4
59,"(649456.791750841, 239330.74494126168)","(623718.4288896682, 111657.29311797058)",1
60,"(735713.786937659, 203764.72107135272)","(623718.4288896682, 111657.29311797058)",3
61,"(623718.4288896682, 111657.29311797058)","(573267.7369656115, 174658.52941226802)",1
62,"(623718.4288896682, 111657.29311797058)","(844216.4486454271, 246279.2183460687)",0
63,"(623718.4288896682, 111657.29311797058)","(465452.68725493056, 263210.55726963974)",4
64,"(586928.3749487305, 81231.49031992705)","(623718.4288896682, 111657.29311797058)",0
65,"(602645.2631585986, 204916.6979331614)","(849343.5199961576, 293650.8211050974)",0
66,"(602645.2631585986, 204916.6979331614)","(543952.5909555099, 261363.56736361497)",1
67,"(602645.2631585986, 204916.6979331614)","(779905.216087059, 308210.4776814674)",0
68,"(602645.2631585986, 204916.6979331614)","(563750.9189047432, 195017.91075009792)",2
69,"(649456.791750841, 239330.74494126168)","(602645.2631585986, 204916.6979331614)",3
70,"(735713.786937659, 203764.72107135272)","(602645.2631585986, 204916.6979331614)",63
71,"(602645.2631585986, 204916.6979331614)","(573267.7369656115, 174658.52941226802)",1
72,"(602645.2631585986, 204916.6979331614)","(844216.4486454271, 246279.2183460687)",12
73,"(602645.2631585986, 204916.6979331614)","(465452.68725493056, 263210.55726963974)",0
74,"(602645.2631585986, 204916.6979331614)","(586928.3749487305, 81231.49031992705)",0
75,"(543952.5909555099, 261363.56736361497)","(849343.5199961576, 293650.8211050974)",0
76,"(849343.5199961576, 293650.8211050974)","(779905.216087059, 308210.4776814674)",27
77,"(849343.5199961576, 293650.8211050974)","(563750.9189047432, 195017.91075009792)",0
78,"(649456.791750841, 239330.74494126168)","(849343.5199961576, 293650.8211050974)",1
79,"(735713.786937659, 203764.72107135272)","(849343.5199961576, 293650.8211050974)",0
80,"(849343.5199961576, 293650.8211050974)","(573267.7369656115, 174658.52941226802)",0
81,"(844216.4486454271, 246279.2183460687)","(849343.5199961576, 293650.8211050974)",53
82,"(849343.5199961576, 293650.8211050974)","(465452.68725493056, 263210.55726963974)",0
83,"(586928.3749487305, 81231.49031992705)","(849343.5199961576, 293650.8211050974)",1
84,"(543952.5909555099, 261363.56736361497)","(779905.216087059, 308210.4776814674)",0
85,"(543952.5909555099, 261363.56736361497)","(563750.9189047432, 195017.91075009792)",1
86,"(649456.791750841, 239330.74494126168)","(543952.5909555099, 261363.56736361497)",0
87,"(735713.786937659, 203764.72107135272)","(543952.5909555099, 261363.56736361497)",1
88,"(543952.5909555099, 261363.56736361497)","(573267.7369656115, 174658.52941226802)",0
89,"(543952.5909555099, 261363.56736361497)","(844216.4486454271, 246279.2183460687)",0
90,"(543952.5909555099, 261363.56736361497)","(465452.68725493056, 263210.55726963974)",6
91,"(543952.5909555099, 261363.56736361497)","(586928.3749487305, 81231.49031992705)",0
92,"(779905.216087059, 308210.4776814674)","(563750.9189047432, 195017.91075009792)",1
93,"(649456.791750841, 239330.74494126168)","(779905.216087059, 308210.4776814674)",18
94,"(735713.786937659, 203764.72107135272)","(779905.216087059, 308210.4776814674)",0
95,"(779905.216087059, 308210.4776814674)","(573267.7369656115, 174658.52941226802)",0
96,"(844216.4486454271, 246279.2183460687)","(779905.216087059, 308210.4776814674)",5
97,"(779905.216087059, 308210.4776814674)","(465452.68725493056, 263210.55726963974)",0
98,"(586928.3749487305, 81231.49031992705)","(779905.216087059, 308210.4776814674)",0
99,"(649456.791750841, 239330.74494126168)","(563750.9189047432, 195017.91075009792)",0
100,"(735713.786937659, 203764.72107135272)","(563750.9189047432, 195017.91075009792)",4
101,"(573267.7369656115, 174658.52941226802)","(563750.9189047432, 195017.91075009792)",7
102,"(844216.4486454271, 246279.2183460687)","(563750.9189047432, 195017.91075009792)",0
103,"(563750.9189047432, 195017.91075009792)","(465452.68725493056, 263210.55726963974)",0
104,"(586928.3749487305, 81231.49031992705)","(563750.9189047432, 195017.91075009792)",0
105,"(649456.791750841, 239330.74494126168)","(735713.786937659, 203764.72107135272)",12
106,"(649456.791750841, 239330.74494126168)","(573267.7369656115, 174658.52941226802)",0
107,"(649456.791750841, 239330.74494126168)","(844216.4486454271, 246279.2183460687)",37
108,"(649456.791750841, 239330.74494126168)","(465452.68725493056, 263210.55726963974)",0
109,"(649456.791750841, 239330.74494126168)","(586928.3749487305, 81231.49031992705)",2
110,"(735713.786937659, 203764.72107135272)","(573267.7369656115, 174658.52941226802)",3
111,"(735713.786937659, 203764.72107135272)","(844216.4486454271, 246279.2183460687)",5
112,"(735713.786937659, 203764.72107135272)","(465452.68725493056, 263210.55726963974)",0
113,"(735713.786937659, 203764.72107135272)","(586928.3749487305, 81231.49031992705)",0
114,"(844216.4486454271, 246279.2183460687)","(573267.7369656115, 174658.52941226802)",2
115,"(573267.7369656115, 174658.52941226802)","(465452.68725493056, 263210.55726963974)",0
116,"(586928.3749487305, 81231.49031992705)","(573267.7369656115, 174658.52941226802)",0
117,"(844216.4486454271, 246279.2183460687)","(465452.68725493056, 263210.55726963974)",0
118,"(586928.3749487305, 81231.49031992705)","(844216.4486454271, 246279.2183460687)",1
119,"(586928.3749487305, 81231.49031992705)","(465452.68725493056, 263210.55726963974)",0
