origin,destination,flow
Kecskemét,Szekszárd,12.557169486164234
Kecskemét,Győr,16.097059037288236
Kecskemét,Szolnok,91.81018179012025
Kecskemét,Miskolc,25.504007240682732
Szolnok,Budapest,316.5522390557731
Szolnok,Szombathely,1.6426864512055166
Szolnok,Dunaújváros,6.120043374781539
Szolnok,Sopron,1.2263269692834375
Szolnok,Veszprém,2.957981477890374
Szolnok,Székesfehérvár,7.217594929611637
Szolnok,Debrecen,19.29123002626876
Szolnok,Nyíregyháza,7.561403536184943
Szolnok,Siófok,1.2685020926047201
Szolnok,Pécs,5.763570223248749
Szolnok,Szekszárd,2.1265177186394677
Szolnok,Győr,4.561138968238742
Szolnok,Kecskemét,49.10624228727187
Szolnok,Miskolc,16.604522888997135
Miskolc,Budapest,15.064612495288111
Miskolc,Szombathely,0.14779206687363916
Miskolc,Dunaújváros,0.2452693250741248
Miskolc,Sopron,0.12215805973605565
Miskolc,Veszprém,0.20406764456765802
Miskolc,Székesfehérvár,0.4334349060786422
Miskolc,Debrecen,3.7978243071664903
Miskolc,Nyíregyháza,3.297292627255591
Miskolc,Siófok,0.07945655848533441
Miskolc,Pécs,0.3399353255811587
Miskolc,Szekszárd,0.10310463228632546
Miskolc,Győr,0.4197402001783887
Miskolc,Kecskemét,0.787159206804797
Miskolc,Szolnok,0.9581526446236841
